238,99,75,159
235,94,75,159
235,94,77,162
235,94,74,154
235,98,74,154
235,98,76,157
232,98,79,163
229,92,82,169
229,92,81,167
226,92,84,173
223,86,83,171
223,86,86,177
220,86,85,175
222,86,85,175
222,86,85,175
219,86,85,175
219,86,87,178
216,86,91,185
213,80,93,188
213,80,97,195
209,73,99,198
209,73,95,189
209,78,99,196
205,71,103,203
201,71,102,200
201,71,101,197
201,71,100,195
201,71,100,195
197,71,100,195
197,71,104,202
193,71,108,210
193,64,108,209
193,64,110,213
189,64,112,217
185,64,116,225
185,56,118,229
181,56,123,238
177,48,122,235
177,48,121,232
177,48,121,232
177,48,121,231
173,55,121,230
173,55,126,239
169,47,120,228
172,54,125,236
168,46,130,245
163,46,135,254
163,38,129,242
163,45,134,251
158,45,139,260
158,36,139,259
153,36,133,247
157,43,135,251
157,43,136,253
157,43,141,262
152,34,134,249
156,41,139,258
156,32,142,262
156,32,145,266
151,32,143,263
155,32,149,273
150,32,152,278
150,32,145,265
145,40,145,264
145,40,146,266
149,40,144,263
167,40,147,267
176,40,145,263
185,40,145,263
180,40,151,273
184,31,154,278
198,0,160,288
208,0,161,290
223,18,162,292
228,18,162,292
233,18,154,278
247,9,160,288
257,0,158,284
276,0,156,280
285,0,157,282
294,0,163,292
304,18,163,291
314,36,155,277
323,44,155,277
327,52,158,282
327,43,164,292
327,43,170,303
321,33,168,299
326,33,168,299
326,33,166,295
326,33,166,294
326,33,169,299
320,23,167,295
325,23,173,306
325,23,165,291
325,23,157,277
329,31,163,287
329,31,166,292
323,21,164,288
323,30,165,290
323,20,166,292
323,29,166,291
317,19,158,277
321,27,159,279
321,27,152,266
325,27,152,266
325,27,152,265
325,35,150,262
325,35,153,266
320,35,146,253
324,35,139,241
328,42,144,250
323,42,150,259
318,33,156,269
313,33,159,274
313,33,159,273
313,33,160,275
313,24,152,262
313,32,152,262
313,32,153,264
313,32,151,261
313,32,149,258
313,32,149,257
313,32,142,245
313,39,142,244
313,39,142,244
313,39,143,246
313,39,141,243
313,39,134,231
317,46,139,240
312,46,137,237
312,46,138,239
312,46,132,228
312,46,132,227
312,46,131,224
312,46,136,232
312,46,130,221
312,52,129,218
312,52,129,217
312,52,123,207
315,58,128,215
311,51,122,205
